Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2015-01-01,26163,39319954,39288,1764726,748252,61249,69331984,931749
2015-01-01,32033,246717,39793,9858,4321,57756,392276,5406
2015-01-01,48355,9720159,42515,360616,175543,54077,15331671,219049
2015-01-01,50001,1029162,46301,36926,16717,41906,1709693,23571
2015-01-01,06005,799904,41855,37037,12273,48703,1550192,17548
2015-01-01,26019,303655,38468,17393,4362,31287,669069,7065
2015-01-01,24011,823288,41864,32591,9529,43971,1364399,14410
2015-01-01,54083,501854,33832,29206,12418,38588,988111,15217
2015-01-01,41067,20807828,53899,572872,289310,69786,30877272,360413
2015-01-01,54001,263770,28838,16971,3777,34878,489405,5438
2015-01-01,19197,472378,55531,12843,6008,62387,713184,8262
2015-01-01,17197,24378714,47838,686142,239793,51447,32823591,310824
2015-01-01,17163,6586479,41431,264805,104262,51649,10971181,127298
2015-01-01,27087,94428,35978,5437,2083,40405,195615,2755
2015-01-01,54041,336364,36816,16436,7389,47402,605108,9629
2015-01-01,17055,737525,34643,39390,9541,40969,1364592,13713
2015-01-01,17201,7189047,39787,287222,135847,50810,11427707,164357
2015-01-01,54095,146270,32514,8952,2546,45655,291067,3363
2015-01-01,06039,3417443,36357,153739,48183,59171,5589548,61459
2015-01-01,42097,2015189,38196,92890,29389,43606,3548032,37643
2015-01-01,51740,2072566,38447,96308,53261,65016,3702717,60432
2015-01-01,02070,174684,54935,4987,2624,55125,273963,3476
2015-01-01,34017,27386830,56540,664744,264986,80582,37584350,347522
2015-01-01,06011,636602,47077,21269,9266,63910,1001291,11772
2015-01-01,12023,1225415,32387,68197,25323,43121,2208706,31852
2015-01-01,46045,101395,45115,3994,1336,37639,180189,2462
2015-01-01,13019,277298,28509,18975,3856,31711,540962,5800
2015-01-01,28049,5213232,37942,244241,135715,49735,9266955,170868
2015-01-01,13151,5332972,35468,216571,58389,33945,7681382,89950
2015-01-01,37105,1199688,36874,59440,26826,43371,2191769,33149
2015-01-01,18081,4505232,44102,148994,53130,41607,6570927,69064
2015-01-01,37075,127976,30002,8598,2140,37229,257957,3220
2015-01-01,31053,1001129,45502,36560,18344,46451,1663549,23061
2015-01-01,51093,1243944,50998,36155,11744,45153,1843820,15641
2015-01-01,49053,2622814,33039,154680,59644,34227,5110533,85582
2015-01-01,22111,467514,35792,22492,5152,34915,805039,8134
2015-01-01,29225,702886,30446,37542,7510,29670,1143006,13911
2015-01-01,29167,521690,31039,31264,8876,34506,970410,13564
